[30-Mar-2016 06:56:00 UTC] PHP Fatal error:  Call to undefined method TestArticle::visit() in D:\WWW\laravel\tests\TestAA.php on line 14
[30-Mar-2016 06:56:00 UTC] PHP Stack trace:
[30-Mar-2016 06:56:00 UTC] PHP   1. {main}() D:\WWW\phpunit.phar:0
[30-Mar-2016 06:56:00 UTC] PHP   2. PHPUnit_TextUI_Command::main() D:\WWW\phpunit.phar:548
[30-Mar-2016 06:56:00 UTC] PHP   3. PHPUnit_TextUI_Command->run() phar://D:/WWW/phpunit.phar/phpunit/TextUI/Command.php:100
[30-Mar-2016 06:56:00 UTC] PHP   4. PHPUnit_TextUI_TestRunner->doRun() phar://D:/WWW/phpunit.phar/phpunit/TextUI/Command.php:149
[30-Mar-2016 06:56:00 UTC] PHP   5. PHPUnit_Framework_TestSuite->run() phar://D:/WWW/phpunit.phar/phpunit/TextUI/TestRunner.php:440
[30-Mar-2016 06:56:00 UTC] PHP   6. PHPUnit_Framework_TestCase->run() phar://D:/WWW/phpunit.phar/phpunit/Framework/TestSuite.php:747
[30-Mar-2016 06:56:00 UTC] PHP   7. PHPUnit_Framework_TestResult->run() phar://D:/WWW/phpunit.phar/phpunit/Framework/TestCase.php:724
[30-Mar-2016 06:56:00 UTC] PHP   8. PHPUnit_Framework_TestCase->runBare() phar://D:/WWW/phpunit.phar/phpunit/Framework/TestResult.php:612
[30-Mar-2016 06:56:00 UTC] PHP   9. PHPUnit_Framework_TestCase->runTest() phar://D:/WWW/phpunit.phar/phpunit/Framework/TestCase.php:768
[30-Mar-2016 06:56:00 UTC] PHP  10. ReflectionMethod->invokeArgs() phar://D:/WWW/phpunit.phar/phpunit/Framework/TestCase.php:909
[30-Mar-2016 06:56:00 UTC] PHP  11. TestArticle->testOne() phar://D:/WWW/phpunit.phar/phpunit/Framework/TestCase.php:909
[30-Mar-2016 15:16:40 PRC] PHP Parse error:  syntax error, unexpected '}', expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in D:\WWW\laravel\tests\ExampleTest.php on line 20
[30-Mar-2016 15:16:40 PRC] PHP Stack trace:
[30-Mar-2016 15:16:40 PRC] PHP   1. {main}() D:\WWW\phpunit.phar:0
[30-Mar-2016 15:16:40 PRC] PHP   2. PHPUnit_TextUI_Command::main() D:\WWW\phpunit.phar:548
[30-Mar-2016 15:16:40 PRC] PHP   3. PHPUnit_TextUI_Command->run() phar://D:/WWW/phpunit.phar/phpunit/TextUI/Command.php:100
[30-Mar-2016 15:16:40 PRC] PHP   4. PHPUnit_Runner_BaseTestRunner->getTest() phar://D:/WWW/phpunit.phar/phpunit/TextUI/Command.php:123
[30-Mar-2016 15:16:40 PRC] PHP   5. PHPUnit_Runner_BaseTestRunner->loadSuiteClass() phar://D:/WWW/phpunit.phar/phpunit/Runner/BaseTestRunner.php:67
[30-Mar-2016 15:16:40 PRC] PHP   6. PHPUnit_Runner_StandardTestSuiteLoader->load() phar://D:/WWW/phpunit.phar/phpunit/Runner/BaseTestRunner.php:123
[30-Mar-2016 15:16:40 PRC] PHP   7. PHPUnit_Util_Fileloader::checkAndLoad() phar://D:/WWW/phpunit.phar/phpunit/Runner/StandardTestSuiteLoader.php:39
[30-Mar-2016 15:16:40 PRC] PHP   8. PHPUnit_Util_Fileloader::load() phar://D:/WWW/phpunit.phar/phpunit/Util/Fileloader.php:38
